2023;2945;2928;5873
2022;3088;2919;6007
2021;3158;2970;6128
2020;3144;3056;6200
2019;3425;3161;6586
2018;3428;3209;6637
2017;3570;3436;7006
2016;3721;3502;7223
2015;3876;3690;7566
2014;3953;3703;7656
2013;4037;3634;7671
2012;4360;4003;8363
2011;4557;4126;8683
2010;4840;4453;9293
2009;4887;4564;9451
2008;5220;4738;9958
2007;4716;4506;9222
2006;4439;4133;8572
2005;4233;3950;8183
2004;3827;3575;7402
2003;3705;3357;7062
2002;3426;3265;6691
2001;3226;3007;6233
2000;3121;3003;6124
1999;2810;2725;5535
1998;2798;2618;5416
1997;2697;2574;5271
1996;2648;2487;5135
1995;2611;2512;5123
1994;2599;2527;5126
1993;2708;2465;5173
1992;2755;2588;5343
1991;2668;2448;5116
1990;2730;2523;5253
1989;2739;2451;5190
1988;2849;2656;5505
1987;2844;2632;5476
1986;2870;2737;5607
1985;3140;2949;6089
1984;3258;2972;6230
1983;3296;3052;6348
1982;3677;3398;7075
1981;3686;3476;7162
1980;4046;3812;7858
1979;4298;3938;8236
1978;4616;4335;8951
1977;4764;4324;9088
1976;4705;4452;9157
1975;4450;4258;8708

